Time, Value
32007, 108.26
32017, 108.09
32025, 108.33
32036, 108.33
32045, 108.22
32053, 108.22
32065, 107.97
32075, 108.25
32083, 108.25
32094, 108.46
32103, 108.34
32111, 108.34
32121, 108.41
32131, 108.46
32140, 108.46
32151, 108.47
32160, 108.63
32169, 108.63
32179, 108.57
32189, 108.45
32198, 108.45
32211, 108.62
32221, 108.62
32231, 108.59
32241, 108.59
32251, 108.59
32261, 108.98
32271, 108.94
32281, 108.94
32292, 108.83
32301, 109.23
32311, 109.23
32321, 109.2
32332, 108.84
32341, 108.84
32351, 108.87
32361, 108.91
32370, 108.91
32381, 109.18
32391, 109.18
32400, 109.33
32409, 109.44
32420, 109.44
32433, 109.4
32443, 108.93
32453, 108.93
32462, 108.81
32471, 107.93
32481, 107.93
32492, 107.94
32500, 107.69
32509, 107.69
32521, 107.6
32529, 107.43
32540, 107.43
32550, 108.17
32561, 108.06
32570, 108.06
32579, 108.14
32589, 108.14
32599, 107.61
32608, 108.31
32617, 108.31
32628, 108.42
32638, 108.61
32647, 108.61
32658, 108.6
32666, 108.6
32676, 108.57
32685, 108.31
32695, 108.31
32704, 108.34
32712, 108.34
32723, 108.08
32733, 108.03
32741, 108.03
32754, 108.27
32764, 108.93
32772, 108.93
32782, 108.7
32790, 108.97
32799, 108.97
32809, 109.07
32817, 109.07
32828, 108.84
32836, 108.77
32846, 108.77
32856, 108.91
32865, 108.86
32874, 108.86
32882, 108.76
32893, 108.76
32903, 108.75
32911, 108.75
32922, 108.88
32933, 109.32
32941, 109.32
32952, 109.23
32962, 109.21
32970, 109.21
32980, 108.92
32990, 108.63
32999, 108.63
33009, 108.81
33019, 108.81
33029, 108.81
33038, 108.41
33050, 108.41
33061, 108.36
33069, 108.38
33079, 108.38
33090, 108.34
33099, 108.93
33108, 108.93
33118, 108.78
33128, 108.82
33137, 108.82
33145, 108.69
33156, 108.69
33166, 107.55
33175, 107.83
33186, 107.83
33195, 108.4
33203, 108.4
33213, 108.17
33224, 108.11
33233, 108.11
33244, 108.22
33254, 108.39
33264, 108.39
33275, 108.26
33285, 107.82
33295, 107.82
33305, 107.94
33317, 107.97
33327, 107.97
33337, 107.89
33349, 107.96
33360, 107.96
33370, 107.95
33380, 108.44
33390, 108.44
33399, 107.8
33408, 107.79
33419, 107.79
33429, 107.76
33438, 107.98
33447, 107.98
33458, 108.13
33466, 108.23
33478, 108.23
33488, 107.78
33497, 108.11
33505, 108.11
33517, 108.63
33527, 109.05
