Time, Value
32017, 125.76
32025, 125.84
32036, 125.84
32045, 125.64
32053, 125.64
32065, 125.47
32075, 125.61
32083, 125.61
32094, 125.1
32103, 124.09
32111, 124.09
32121, 124.23
32131, 124.52
32140, 124.52
32151, 124.32
32160, 124.95
32169, 124.95
32179, 124.93
32189, 126.05
32198, 126.05
32211, 126.13
32221, 126.13
32231, 126.44
32241, 128.37
32251, 128.37
32261, 128.16
32271, 126.15
32281, 126.15
32292, 126.04
32301, 126.04
32311, 126.04
32321, 126.25
32332, 126.31
32341, 126.31
32351, 126.51
32361, 126.72
32370, 126.72
32381, 126.52
32391, 126.52
32400, 124.93
32409, 125.38
32420, 125.38
32433, 125.51
32443, 125.25
32453, 125.25
32462, 124.73
32471, 124.03
32481, 124.03
32492, 124.31
32500, 123.62
32509, 123.62
32521, 123.47
32529, 123.38
32540, 123.38
32550, 124.08
32561, 123.69
32570, 123.69
32579, 123.5
32589, 123.5
32599, 123.5
32608, 124.75
32617, 124.75
32628, 125.61
32638, 125.31
32647, 125.31
32658, 125.17
32666, 125.17
32676, 125.64
32685, 125.35
32695, 125.35
32704, 125.54
32712, 125.54
32723, 125.3
32733, 126.02
32741, 126.02
32754, 125.55
32764, 124.1
32772, 124.1
32782, 124.04
32790, 124.29
32799, 124.29
32809, 124.42
32817, 124.42
32828, 124.43
32836, 125.58
32846, 125.58
32856, 125.62
32865, 125
32874, 125
32882, 125.04
32893, 125.04
32903, 125.37
32911, 125.37
32922, 126.18
32933, 127.48
32941, 127.48
32952, 127.41
32962, 127.3
32970, 127.3
32980, 127.27
32990, 126.52
32999, 126.52
33009, 126.66
33019, 127.17
33029, 127.17
33038, 127.2
33050, 127.2
33061, 127.52
33069, 127.39
33079, 127.39
33090, 127.67
33099, 127.72
33108, 127.72
33118, 127.78
33128, 126.28
33137, 126.28
33145, 126.21
33156, 126.21
33166, 126.32
33175, 126.14
33186, 126.14
33195, 125.18
33203, 125.18
33213, 124.91
33224, 123.53
33233, 123.53
33244, 123.48
33254, 123.96
33264, 123.96
33275, 124.26
33285, 124.29
33295, 124.29
33305, 125.9
33317, 128.98
33327, 128.98
33337, 128.58
33349, 128.61
33360, 128.61
33370, 127.99
33380, 128.31
33390, 128.31
33399, 132.21
33408, 131.83
33419, 131.83
33429, 131.7
33438, 131.16
33447, 131.16
33458, 131.03
33466, 130.11
33478, 130.11
33488, 130.14
33497, 130.05
33505, 130.05
33517, 129.57
33527, 129.05
33536, 129.05
33548, 128.81
33556, 128.81
33566, 129.27
33574, 128.17
33585, 128.17
33594, 127.65
33602, 127.65
33613, 127.84
33623, 128.12
33631, 128.12
33641, 127.89
33649, 128.75
33657, 128.75
33668, 128.86
33679, 128.97
33688, 128.97
33704, 128.62
33715, 128.23
33724, 127.47
33734, 127.47
33744, 127.45
33753, 127.45
33763, 127.17
33772, 126.35
33782, 126.35
33792, 126.25
33800, 126.52
33811, 126.52
33820, 126.37
33829, 126.37
33840, 127.3
33850, 125.91
33860, 126.11
33871, 126.11
33880, 126.14
33888, 126.14
33897, 129.39
33907, 129.24
33916, 129.24
33926, 129.58
33936, 129.58
33945, 128.89
33954, 128.46
33965, 128.46
33974, 128.54
33984, 127.16
33993, 127.16
34002, 127.36
34013, 126.57
34022, 126.57
34030, 126.69
34040, 126.69
34051, 126.51
34059, 126.53
34068, 126.53
34079, 126.57
34087, 126.57
34097, 126.65
34107, 126.26
34116, 126.26
34126, 126.23
34136, 126.23
34145, 126.14
34154, 126.13
34163, 126.13
34174, 126.22
34183, 126.27
34193, 126.27
34203, 127.48
34212, 127.48
