Time, Value
32007, 88.08
32017, 88.02
32025, 87.88
32036, 87.88
32045, 87.74
32053, 87.74
32065, 88.12
32075, 87.62
32083, 87.62
32094, 87.6
32103, 87.64
32111, 87.64
32121, 87.65
32131, 87.7
32140, 87.7
32151, 87.51
32160, 87.55
32169, 87.55
32179, 87.32
32189, 88.28
32198, 88.28
32211, 88.29
32221, 88.29
32231, 87.71
32241, 87.82
32251, 87.82
32261, 87.81
32271, 87.89
32281, 87.89
32292, 87.99
32301, 88.26
32311, 88.26
32321, 88.07
32332, 89.15
32341, 89.15
32351, 89.18
32361, 89.03
32370, 89.03
32381, 88.3
32391, 88.3
32400, 88.73
32409, 88.85
32420, 88.85
32433, 89.05
32443, 88.72
32453, 88.72
32462, 89.13
32471, 87.88
32481, 87.88
32492, 88.19
32500, 87.53
32509, 87.53
32521, 87.75
32529, 87.83
32540, 87.83
32550, 88.1
32561, 88.13
32570, 88.13
32579, 88.23
32589, 88.23
32599, 88.25
32608, 89.37
32617, 89.37
32628, 89.23
32638, 89.3
32647, 89.3
32658, 88.89
32666, 88.89
32676, 88.96
32685, 88.4
32695, 88.4
32704, 88.73
32712, 88.73
32723, 88.13
32733, 88.66
32741, 88.66
32754, 88.42
32764, 89.14
32772, 89.14
32782, 89.17
32790, 89.21
32799, 89.21
32809, 89.05
32817, 89.05
32828, 88.19
32836, 88.72
32846, 88.72
32856, 88.61
32865, 88.43
32874, 88.43
32882, 88.41
32893, 88.41
32903, 88.01
32911, 88.01
32922, 88.1
32933, 88.18
32941, 88.18
32952, 88.16
32962, 88.03
32970, 88.03
32980, 88.03
32990, 88.58
32999, 88.58
33009, 88.39
33019, 88.06
33029, 88.06
33038, 87.59
33050, 87.59
33061, 87.56
33069, 87.51
33079, 87.51
33090, 87.75
33099, 87.99
33108, 87.99
33118, 87.99
33128, 87.68
33137, 87.68
33145, 87.83
33156, 87.83
33166, 87.53
33175, 87.93
33186, 87.93
33195, 88.08
33203, 88.08
33213, 87.81
33224, 88.26
33233, 88.26
33244, 87.99
33254, 88.56
33264, 88.56
33275, 88.63
33285, 88.66
33295, 88.66
33305, 89.28
33317, 89.88
33327, 89.88
33337, 89.74
33349, 89.52
33360, 89.52
33370, 89.45
33380, 89.97
33390, 89.97
33399, 89.42
33408, 89.26
33419, 89.26
33429, 89.18
33438, 89.24
33447, 89.24
33458, 88.89
33466, 88.53
33478, 88.53
33488, 88.36
33497, 87.9
33505, 87.9
33517, 88.02
33527, 88.2
33536, 88.2
33548, 88.39
33556, 88.39
33566, 89.92
33574, 89.59
33585, 89.59
33594, 89.79
33602, 89.79
33613, 89.26
33623, 90.15
33631, 90.15
33641, 90.17
33649, 90.12
33657, 90.12
33668, 89.83
33679, 89.7
33688, 89.7
33704, 89.67
33715, 88.91
33724, 89.29
33734, 89.29
33744, 89.3
33753, 89.3
33763, 88.43
33772, 88.95
33782, 88.95
33792, 88.8
33800, 88.04
33811, 88.04
33820, 88.37
33829, 88.37
33840, 88.65
33850, 88.5
33860, 88.36
33871, 88.36
33880, 88.64
33888, 88.64
33897, 88.75
33907, 89.06
33916, 89.06
33926, 88.96
33936, 88.96
33945, 88.64
33954, 88.48
33965, 88.48
33974, 88.39
33984, 88.1
33993, 88.1
34002, 88.08
34013, 88.08
34022, 88.08
34030, 88.19
34040, 88.19
34051, 88.03
