Time, Value
32007, 138.14
32017, 138.29
32025, 137.88
32036, 137.88
32045, 137.96
32053, 137.96
32065, 137.83
32075, 137.93
32083, 137.93
32094, 137.44
32103, 137.66
32111, 137.66
32121, 137.74
32131, 137.66
32140, 137.66
32151, 137.68
32160, 137.61
32169, 137.61
32179, 137.93
32189, 138.22
32198, 138.22
32211, 138.41
32221, 138.41
32231, 138.3
32241, 138.57
32251, 138.57
32261, 138.6
32271, 138.23
32281, 138.23
32292, 138.37
32301, 138.44
32311, 138.44
32321, 138.61
32332, 138.27
32341, 138.27
32351, 138.28
32361, 138.39
32370, 138.39
32381, 138.54
32391, 138.54
32400, 137.14
32409, 138.74
32420, 138.74
32433, 138.67
32443, 138.44
32453, 138.44
32462, 138.28
32471, 138.31
32481, 138.31
32492, 138.22
32500, 138.62
32509, 138.62
32521, 138.59
32529, 138.45
32540, 138.45
32550, 138.27
32561, 138.37
32570, 138.37
32579, 138.22
32589, 138.22
32599, 138.5
32608, 138.49
32617, 138.49
32628, 138.45
32638, 137.98
32647, 137.98
32658, 137.9
32666, 137.9
32676, 137.84
32685, 137.88
32695, 137.88
32704, 137.81
32712, 137.81
32723, 137.78
32733, 138
32741, 138
32754, 138.29
32764, 138.22
32772, 138.22
32782, 138.47
32790, 138.42
32799, 138.42
32809, 138.49
32817, 138.49
32828, 138.57
32836, 138.38
32846, 138.38
32856, 138.65
32865, 138.77
32874, 138.77
32882, 138.84
32893, 138.84
32903, 138.96
32911, 138.96
32922, 138.93
32933, 138.58
32941, 138.58
32952, 138.69
32962, 138.98
32970, 138.98
32980, 138.95
32990, 138.67
32999, 138.67
33009, 138.64
33019, 138.78
33029, 138.78
33038, 138.99
33050, 138.99
33061, 138.95
33069, 138.89
33079, 138.89
33090, 138.54
33099, 138.62
33108, 138.62
33118, 138.5
33128, 138.94
33137, 138.94
33145, 139.11
33156, 139.11
33166, 139
33175, 139.28
33186, 139.28
33195, 139.58
33203, 139.58
33213, 139.4
33224, 139.02
33233, 139.02
33244, 138.89
33254, 137.85
33264, 137.85
33275, 138
33285, 137.78
33295, 137.78
33305, 137.39
33317, 137.49
33327, 137.49
33337, 137.96
33349, 138.63
33360, 138.63
33370, 138.55
33380, 137.92
33390, 137.92
33399, 138.62
33408, 138.76
33419, 138.76
33429, 138.85
33438, 138.81
33447, 138.81
33458, 138.86
33466, 138.96
33478, 138.96
33488, 138.9
33497, 139.28
33505, 139.28
33517, 139.04
33527, 138.91
33536, 138.91
33548, 139.68
33556, 139.68
33566, 139.07
33574, 139.2
33585, 139.2
33594, 138.73
33602, 138.73
33613, 138.55
33623, 138.7
33631, 138.7
33641, 138.63
33649, 138.88
33657, 138.88
33668, 138.93
33679, 138.7
33688, 138.7
33704, 138.62
33715, 138.73
33724, 138.09
33734, 138.09
33744, 138.11
33753, 138.11
33763, 137.98
33772, 137.69
33782, 137.69
33792, 137.85
33800, 138.11
33811, 138.11
33820, 137.94
33829, 137.94
33840, 137.59
33850, 138.37
33860, 138.21
33871, 138.21
33880, 138.21
33888, 138.21
33897, 139.17
33907, 138.88
33916, 138.88
33926, 138.8
33936, 138.8
33945, 138.91
33954, 138.79
33965, 138.79
33974, 138.91
33984, 139.74
33993, 139.74
34002, 140
34013, 139.51
34022, 139.51
34030, 139.27
34040, 139.27
34051, 139
34059, 138.88
34068, 138.88
34079, 138.92
34087, 138.92
34097, 139.07
34107, 138.98
34116, 138.98
34126, 138.87
34136, 138.87
34145, 139.04
34154, 138.71
34163, 138.71
34174, 138.66
34183, 139.22
34193, 139.22
34203, 138.12
34212, 138.12
34221, 138.2
34229, 138.13
34238, 138.13
34249, 138.23
34258, 138.23
34267, 138.18
34278, 138.23
34287, 138.23
34297, 137.96
34307, 139.22
34317, 139.22
34326, 139.09
34335, 139.09
34346, 139.01
34357, 138.36
34365, 138.36
