Time, Value
32007, 171.68
32017, 171.71
32025, 171.55
32036, 171.55
32045, 171.52
32053, 171.52
32065, 171.96
32075, 171.5
32083, 171.5
32094, 171.4
32103, 171.51
32111, 171.51
32121, 171.47
32131, 171.57
32140, 171.57
32151, 171.41
32160, 171.5
32169, 171.5
32179, 171.19
32189, 172.16
32198, 172.16
32211, 172.22
32221, 172.22
32231, 171.55
32241, 171.53
32251, 171.53
32261, 171.58
32271, 171.82
32281, 171.82
32292, 171.8
32301, 172.28
32311, 172.28
32321, 172.06
32332, 172.97
32341, 172.97
32351, 172.95
32361, 172.57
32370, 172.57
32381, 172.17
32391, 172.17
32400, 172.94
32409, 172.52
32420, 172.52
32433, 172.44
32443, 171.96
32453, 171.96
32462, 172.6
32471, 170.9
32481, 170.9
32492, 171.1
32500, 170.4
32509, 170.4
32521, 170.79
32529, 170.91
32540, 170.91
32550, 171.29
32561, 171.18
32570, 171.18
32579, 171.34
32589, 171.34
32599, 171.13
32608, 172.53
32617, 172.53
32628, 172.27
32638, 172.53
32647, 172.53
32658, 171.99
32666, 171.99
32676, 172.06
32685, 171.2
32695, 171.2
32704, 171.31
32712, 171.31
32723, 170.54
32733, 170.76
32741, 170.76
32754, 170.64
32764, 172.22
32772, 172.22
32782, 172.13
32790, 172.14
32799, 172.14
32809, 171.88
32817, 171.88
32828, 171.19
32836, 172.1
32846, 172.1
32856, 172.02
32865, 172.05
32874, 172.05
32882, 172.05
32893, 172.05
32903, 171.89
32911, 171.89
32922, 172.02
32933, 171.93
32941, 171.93
32952, 171.93
32962, 171.94
32970, 171.94
32980, 171.85
32990, 172.92
32999, 172.92
33009, 172.65
33019, 172.47
33029, 172.47
33038, 172.03
33050, 172.03
33061, 172.42
33069, 172.39
33079, 172.39
33090, 172.79
33099, 172.88
33108, 172.88
33118, 172.82
33128, 172.31
33137, 172.31
33145, 172.39
33156, 172.39
33166, 172.12
33175, 172.16
33186, 172.16
33195, 172.49
33203, 172.49
33213, 171.93
33224, 172.56
33233, 172.56
33244, 172.12
33254, 172.68
33264, 172.68
33275, 172.62
33285, 172.86
33295, 172.86
33305, 172.74
33317, 173.08
33327, 173.08
33337, 173.09
33349, 172.91
33360, 172.91
33370, 172.79
33380, 173.3
33390, 173.3
33399, 172.46
33408, 172.34
33419, 172.34
33429, 172.36
33438, 172.65
33447, 172.65
33458, 172.3
33466, 172.23
33478, 172.23
33488, 172.11
33497, 171.83
33505, 171.83
33517, 171.74
33527, 171.88
33536, 171.88
33548, 172.14
33556, 172.14
33566, 173.19
33574, 172.76
33585, 172.76
33594, 172.99
33602, 172.99
33613, 172.45
33623, 173.82
33631, 173.82
33641, 173.79
33649, 173.68
33657, 173.68
33668, 173.26
33679, 173.21
33688, 173.21
33704, 173.14
33715, 172.63
33724, 172.99
33734, 172.99
33744, 172.88
33753, 172.88
33763, 172.01
33772, 172.62
33782, 172.62
33792, 172.46
